"08128","  8001010","20140401","HK0080010100","","China Ground Source Energy Industry Group Ltd.","","0","","0101"
"08129","  8000750","20140401","HK0080007500","","China Bio Cassava Holdings Ltd.","","0","","0101"
"08130","  8001630","20140401","HK0080016300","","Zhi Cheng Holdings Ltd.","","0","","0101"
"08131","  8000590","20140401","HK0080005900","","abc Multiactive Ltd.","","0","","0101"
"08135","  8003560","20140401","HK0080035600","","ZMFY Automobile Glass Services Ltd.","","0","","0101"
"08137","  8001190","20140401","HK0080011900","","Honbridge Holdings Ltd.","","0","","0101"
"08138","  8003480","20140401","HK0080034800","","Beijing Tong Ren Tang Chinese Medicine Co. Ltd.","","0","","0101"
"08143","  8001380","20140401","HK0080013800","","Hua Xia Healthcare Holdings Ltd.","","0","","0101"
"08145","  8003500","20140401","HK0080035000","","Telecom Service One Holdings Ltd.","","0","","0101"
"08146","  8003400","20140401","HK0080034000","","Mastercraft International Holdings Ltd.","","0","","0101"
"08148","  8002130","20140401","HK0080021300","","Aurum Pacific (China) Group Ltd.","","0","","0101"
"08150","  8000880","20140401","HK0080008800","","Seamless Green China (Holdings) Ltd.","","0","","0101"
"08153","  8000660","20140401","HK0080006600","","Code Agriculture (Holdings) Ltd.","","0","","0101"
"08155","  8001520","20140401","HK0080015200","","South China Land Ltd.","","0","","0101"
"08156","  8001700","20140401","HK0080017000","","China Vanguard Group Ltd.","","0","","0101"
"08158","  8000840","20140401","HK0080008400","","China Bio-Med Regeneration Technology Ltd.","","0","","0101"
"08159","  8001170","20140401","HK0080011700","","Glory Mark Hi-Tech (Holdings) Ltd.","","0","","0101"
"08163","  8001330","20140401","HK0080013300","","Merdeka Resources Holdings Ltd.","","0","","0101"
"08165","  8001060","20140401","HK0080010600","","Jian ePayment Systems Ltd.","","0","","0101"
"08166","  8001250","20140401","HK0080012500","","China Eco-Farming Ltd.","","0","","0101"
"08167","  8001580","20140401","HK0080015800","","Neo Telemedia Ltd.","","0","","0101"
"08168","  8003410","20140401","HK0080034100","","UKF (Holdings) Ltd.","","0","","0101"
"08169","  8001030","20140401","HK0080010300","","Eco-Tek Holdings Ltd.","","0","","0101"
"08171","  8001570","20140401","HK0080015700","","China Trends Holdings Ltd.","","0","","0101"
"08172","  8001350","20140401","HK0080013500","","China Media and Films Holdings Ltd.","","0","","0101"
"08173","  8001370","20140401","HK0080013700","","Pan Asia Mining Ltd.","","0","","0101"
"08175","  8001830","20140401","HK0080018300","","China Digital Culture (Group) Ltd.","","0","","0101"
"08176","  8001290","20140401","HK0080012900","","EDS Wellness Holdings Ltd.","","0","","0101"
"08178","  8001080","20140401","HK0080010800","","China Information Technology Development Ltd.","","0","","0101"
"08179","  8003170","20140401","HK0080031700","","Gayety Holdings Ltd.","","0","","0101"
"08180","  8003640","20140401","HK0080036400","","New Ray Medicine International Holding Ltd.","","0","","0101"
"08181","  8003600","20140401","HK0080036000","","Kong Shum Union Property Management (Holding) Ltd.","","0","","0101"
"08185","  8003610","20140401","HK0080036100","","RM Group Holdings Ltd.","","0","","0101"
"08186","  8001160","20140401","HK0080011600","","China Asean Resources Ltd.","","0","","0101"
